library_id,name,street,postal_code,city,region,country,latitude,longitude,opening_hours
13,Ústřední knihovna - Dílna,Mariánské náměstí 98/1,115 72,Praha 1,,Česko,50.08738,14.41738,Mon 13:00–19:00 | Tue 09:00–19:00 | Wed 09:00–19:00 | Thu 09:00–19:00 | Fri 09:00–19:00
87,Ústřední knihovna - Kreativní centrUM,Mariánské náměstí 98/1,115 72,Praha 1,,Česko,50.08738,14.41738,Mon 13:00–17:00 | Tue 16:00–20:00 | Wed 15:00–17:00
88,Ústřední knihovna - pokladna sálů,Mariánské náměstí 98/1,115 72,Praha 1,,Česko,50.08738,14.41738,Mon 14:00–20:00 | Tue 14:00–20:00 | Wed 14:00–20:00 | Thu 14:00–20:00 | Fri 14:00–20:00
42,Velká Chuchle,Starochuchelská 20/7,159 00,Praha 16,,Česko,50.011705,14.385132,Tue 13:00–18:00 | Thu 10:00–18:00
86,Velký mlýn,U Českých loděnic 40/6,180 00,Praha 8,,Česko,50.1075122,14.4691872,Mon 13:00–20:00 | Mon 14:00–17:00 | Tue 09:00–20:00 | Tue 14:00–17:00 | Wed 09:00–20:00 | Wed 14:00–17:00 | Thu 09:00–20:00 | Thu 14:00–17:00 | Fri 09:00–20:00 | Fri 14:00–17:00 | Sat 09:00–20:00 | Sun 09:00–20:00
43,Vikova,Vikova 1223/4,140 00,Praha 4,,Česko,50.041235,14.437536,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
36,Vozovna,Za Žižkovskou vozovnou 2687/18,130 00,Praha 3,,Česko,50.0917275,14.4783867,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
45,Vysočany,Zbuzkova 285/34,190 00,Praha 9,,Česko,50.111288,14.501039,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
46,Zahradní Město,Topolová 2961/12a,106 00,Praha 10,,Česko,50.056364,14.508175,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
47,Záhřebská,Záhřebská 158/20,120 00,Praha 2,,Česko,50.071889,14.437047,Mon 13:00–19:00 | Tue 09:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–16:00
48,Žižkov,Husitská 110/70,130 00,Praha 3,,Česko,50.0867,14.4499,Mon 13:00–19:00 | Tue 09:00–12:30:00 | Tue 13:00–16:00 | Wed 12:00–19:00 | Thu 12:00–19:00 | Fri 09:00–12:30:00 | Fri 13:00–16:00
